L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		T(0,2)	
268  Points		294  Points		255  Points		211  Points		123  Points		94  Points		262  Points		237  Points		223  Points		195  Points		187  Points		115  Points		193  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00144918	3.59976	0.000921188	0.212842	0.219419	1934.49	0.531475	530.369	0.559632	1024.21	0.959925	539.34	0.118611	160.985	0.233793	377.148	0.287953	534.325	0.574676	512.929	0.65592	664.744	0.736848	592.796	0.596452	1372.48
0.00850419	3.59967	0.00192532	0.306191	0.219425	105.831	0.531485	179.435	0.55974	223.331	0.959935	256.686	0.118971	44.1173	0.23386	90.6499	0.288001	115.255	0.574754	186.59	0.655981	222.62	0.736869	230.062	0.596474	249.103
0.0155553	3.59875	0.00326954	0.396409	0.219442	54.4081	0.531507	107.988	0.559986	125.382	0.959953	168.423	0.119735	25.7129	0.234009	51.5468	0.288111	64.6172	0.574905	114.064	0.656103	133.72	0.73691	142.734	0.596528	136.994
0.022599	3.59724	0.0049287	0.482837	0.219471	36.6203	0.53154	77.2381	0.56037	87.2015	0.959978	125.331	0.120887	18.2704	0.23424	36.0389	0.288284	44.9135	0.575128	82.1597	0.656286	95.5783	0.736969	103.467	0.596613	94.4856
0.0296319	3.59513	0.00687455	0.564983	0.219515	27.6012	0.531585	60.1221	0.560891	66.8836	0.960011	99.7986	0.122403	14.272	0.234554	27.7265	0.28852	34.4355	0.575424	64.2211	0.65653	74.3826	0.737047	81.1487	0.596729	72.1189
0.0366506	3.59243	0.0090774	0.642528	0.219575	22.1502	0.531644	49.2187	0.561545	54.2767	0.960051	82.9103	0.124256	11.793	0.234952	22.5493	0.288821	27.9365	0.575791	52.7283	0.656835	60.8953	0.737144	66.7546	0.596876	58.322
0.043651	3.58911	0.011508	0.715335	0.219654	18.5004	0.531717	41.6654	0.562333	45.6962	0.960098	70.9119	0.126414	10.1162	0.235434	19.0182	0.289187	23.5142	0.576228	44.7387	0.657201	51.5605	0.73726	56.7014	0.597054	48.9627
0.0506289	3.58511	0.0141383	0.783398	0.219755	15.8865	0.531805	36.1244	0.563251	39.4825	0.960152	61.9484	0.128846	8.91284	0.236001	16.4584	0.289621	20.3125	0.576736	38.8641	0.657629	44.718	0.737395	49.2832	0.597263	42.1975
0.0575794	3.58039	0.0169422	0.846797	0.219885	13.9232	0.531911	31.8864	0.564296	34.7778	0.960213	54.9978	0.131517	8.01148	0.236656	14.5195	0.290125	17.8888	0.577311	34.3644	0.658119	39.4886	0.73755	43.5844	0.597504	37.08
0.0644979	3.57491	0.0195081	0.898358	0.220048	12.3952	0.532034	28.5406	0.565467	31.0941	0.960282	49.4505	0.134397	7.31371	0.237397	13.0016	0.290701	15.9918	0.577954	30.8084	0.658671	35.3631	0.737723	39.0697	0.597775	33.0741
0.0713778	3.56858	0.0217746	0.939724	0.220249	11.173	0.532178	25.8323	0.56676	28.1332	0.960358	44.9207	0.137053	6.82398	0.238228	11.7823	0.291351	14.4677	0.578663	27.9284	0.659286	32.0261	0.737916	35.405	0.598077	29.8535
0.0782132	3.56135	0.0236973	0.972189	0.220498	10.1741	0.532341	23.5955	0.568173	25.7028	0.960441	41.152	0.139409	6.47212	0.239148	10.7827	0.29208	13.2175	0.579436	25.549	0.659963	29.2721	0.738129	32.3711	0.598411	27.2083
0.0849962	3.55312	0.0252456	0.996782	0.220802	9.34319	0.532525	21.717	0.569704	23.6731	0.960531	37.9674	0.141413	6.21763	0.240159	9.94906	0.292889	12.1743	0.580273	23.5506	0.660704	26.9612	0.738361	29.8183	0.598775	24.9973
0.0917182	3.54378	0.0263988	1.01428	0.221172	8.64212	0.532732	20.1175	0.571349	21.9536	0.960628	35.2411	0.143029	6.03605	0.241262	9.24416	0.293785	11.2917	0.58117	21.8491	0.661508	24.995	0.738614	27.6408	0.59917	23.1219
0.0983691	3.5332	0.0271431	1.02523	0.221619	8.04357	0.532961	18.7392	0.573105	20.4789	0.960732	32.8808	0.144233	5.91223	0.242456	8.64103	0.29477	10.5359	0.582127	20.3832	0.662375	23.3021	0.738886	25.7615	0.599595	21.5114
0.104938	3.52124	0.0282208	1.04062	0.222156	7.52759	0.533214	17.5394	0.574971	19.2008	0.960843	30.8174	0.145011	5.83692	0.243742	8.1197	0.295851	9.88222	0.583141	19.1074	0.663307	21.8298	0.739179	24.1233	0.600051	20.1135
0.11141	3.50772	0.0294024	1.05692	0.222798	7.07923	0.53349	16.4857	0.576944	18.0831	0.96096	28.9983	0.146137	5.73362	0.24512	7.66513	0.297032	9.31205	0.584211	17.9873	0.664304	20.5378	0.739492	22.6826	0.600538	18.8889
