L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		T(0,2)	
270  Points		295  Points		257  Points		212  Points		123  Points		95  Points		264  Points		238  Points		224  Points		196  Points		188  Points		116  Points		194  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0055213	3.59992	0.0040241	0.312886	0.438837	576.277	1.06295	331.792	1.11931	430.995	1.91985	1188.78	0.237251	130.767	0.467596	255.537	0.575915	318.821	1.14939	318.701	1.31187	371.31	1.47369	6227.9	1.19291	533.77
0.019531	3.59961	0.00673838	0.40221	0.438852	94.3031	1.06298	149.804	1.11963	172.539	1.91986	348.615	0.238034	41.7134	0.467752	81.7465	0.576032	101.085	1.14959	153.308	1.31204	176.701	1.47371	356.938	1.19298	194.708
0.033531	3.59852	0.0100703	0.487774	0.43889	51.3576	1.06303	96.7452	1.12022	107.908	1.91989	204.26	0.239612	24.9633	0.468071	48.6858	0.576273	60.0869	1.14994	100.954	1.31233	115.958	1.47377	183.741	1.19311	119.083
0.0475159	3.59693	0.0139642	0.569091	0.438952	35.2915	1.0631	71.4447	1.12109	78.5436	1.91993	144.449	0.241951	17.9346	0.468551	34.6915	0.576637	42.7684	1.15043	75.2761	1.31274	86.3107	1.47386	123.719	1.19329	85.779
0.0614781	3.59474	0.0183618	0.645866	0.439041	26.8855	1.0632	56.6369	1.12222	61.7771	1.91999	111.734	0.245005	14.0947	0.469196	26.9678	0.577126	33.2161	1.15107	60.0296	1.31327	68.7518	1.474	93.2605	1.19355	67.0403
0.0754112	3.59197	0.0232065	0.71798	0.439163	21.7169	1.06332	46.9162	1.12361	50.9396	1.92006	91.1032	0.24872	11.6907	0.470006	22.0759	0.577744	27.1662	1.15184	49.9343	1.31392	57.1426	1.47416	74.8411	1.19386	55.0278
0.0893073	3.58858	0.0284424	0.785396	0.439324	18.2184	1.06348	40.0459	1.12526	43.363	1.92014	76.9049	0.253034	10.0542	0.470982	18.7027	0.578491	22.9932	1.15275	42.7591	1.31469	48.899	1.47437	62.5015	1.19423	46.6721
0.103157	3.58451	0.0340192	0.848228	0.439531	15.694	1.06366	34.933	1.12717	37.7714	1.92024	66.5368	0.257884	8.87442	0.472127	16.2384	0.579372	19.9431	1.1538	37.3987	1.31559	42.7444	1.47462	53.6585	1.19466	40.5249
0.116952	3.57972	0.0391197	0.899347	0.439793	13.7873	1.06388	30.9801	1.12933	33.4774	1.92036	58.6333	0.263204	7.98765	0.473443	14.3612	0.580391	17.6178	1.15498	33.2432	1.3166	37.9751	1.4749	47.0108	1.19516	35.8133
