Sym		Asym		Mode 1		Mode 2		Mode 3		Mode 4		Mode 5		Mode 6	
502  Points		543  Points		494  Points		448  Points		261  Points		257  Points		223  Points		224  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00214364	3.8104	0.00297072	0.141277	0.124313	1149.82	0.877461	2680.54	1.1	2594.15	1.71285	1030.1	2.17147	1173.1	2.20001	5952.11
0.0114583	3.8105	0.00369874	0.15758	0.12439	48.7314	0.877472	316.572	1.10007	383.502	1.71286	417.035	2.17061	505.32	2.2005	781.964
0.0207726	3.81046	0.00450545	0.173845	0.124607	24.9364	0.877499	168.225	1.10022	207.084	1.71289	261.442	2.16917	321.838	2.19812	418.012
0.0300843	3.81011	0.0053904	0.190064	0.124965	16.7932	0.877542	114.552	1.10048	141.863	1.71292	190.406	2.1673	235.977	2.19625	285.118
0.0394	3.81032	0.00635341	0.206243	0.125464	12.6912	0.877602	86.8472	1.10084	107.906	1.71296	149.727	2.16513	186.187	2.194	216.213
0.0487129	3.81022	0.00739376	0.22237	0.126101	10.2269	0.877679	69.937	1.10129	87.0841	1.71301	123.371	2.16275	153.678	2.19152	174.043
0.0580057	3.80884	0.00851111	0.238444	0.126878	8.58749	0.877772	58.5415	1.10183	73.014	1.71307	104.907	2.16022	130.782	2.18888	145.574
0.0673034	3.80811	0.00970473	0.254459	0.127668	7.55212	0.877882	50.3417	1.10238	62.8668	1.71314	91.2511	2.15759	113.784	2.18615	125.061
0.0766456	3.80978	0.0109743	0.270415	0.128425	6.86	0.878008	44.159	1.10309	55.2107	1.71322	80.7424	2.1549	100.665	2.18335	109.578
0.0858704	3.80588	0.0123191	0.286307	0.129108	6.38442	0.878152	39.3308	1.10404	49.2346	1.71331	72.4053	2.15216	90.2332	2.18052	97.4769
0.0952613	3.80938	0.0137385	0.302129	0.129686	6.05736	0.878312	35.4561	1.10477	44.4247	1.71341	65.6298	2.14939	81.7398	2.17766	87.7593
0.104352	3.80134	0.0152318	0.317881	0.130133	5.84007	0.87849	32.2782	1.10598	40.4929	1.71352	60.0148	2.1466	74.6904	2.1748	79.7841
0.113508	3.79678	0.0167984	0.333561	0.130428	5.71013	0.878684	29.6246	1.10682	37.1949	1.71364	55.2857	2.1438	68.746	2.17193	73.1216
0.136866	4.23205	0.0184378	0.349165	0.130865	5.53468	0.878897	27.3756	1.10829	34.4171	1.71377	51.2483	2.141	63.6656	2.16906	67.4723
0.132472	3.80833	0.020149	0.36469	0.131359	5.35775	0.879126	25.4454	1.10959	32.0262	1.71391	47.7612	2.1382	59.2737	2.1662	62.6216
0.137083	3.68213	0.0219314	0.380132	0.132062	5.13762	0.879373	23.7707	1.11057	29.9419	1.71406	44.7192	2.1354	55.4395	2.16335	58.4116
