S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
477  Points		478  Points		404  Points		288  Points		221  Points		174  Points		435  Points		354  Points		239  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0249836	3.81048	1.84169e-007	2.30048e-005	2.1949	600.358	2.20816	382.068	4.40003	615.782	6.5971	1047.72	1.10006	394.124	3.3	747.438	4.40007	762.796	5.5	14700.7
0.0529235	3.81022	1.44944e-007	9.44941e-006	2.18484	198.814	2.21868	169.199	4.40012	303.901	6.5938	483.774	1.1008	108.726	3.30002	280.89	4.40038	335.864	5.50004	713.599
0.0808565	3.80981	1.0572e-007	4.66295e-006	2.17497	118.704	2.2294	109.038	4.40026	201.735	6.5906	314.388	1.10237	63.145	3.30004	172.942	4.40092	215.362	5.50015	365.682
0.108778	3.80922	6.64953e-008	2.21609e-006	2.16532	84.3981	2.24031	80.6462	4.40047	150.983	6.58749	232.802	1.10478	44.5633	3.30008	124.932	4.4017	158.515	5.50033	245.834
0.136686	3.80848	0.00954035	0.255506	2.15587	65.3507	2.25141	64.1192	4.40073	120.638	6.58448	184.802	1.108	34.4908	3.30013	97.7862	4.40271	125.427	5.50059	185.158
0.164575	3.80756	0.0135985	0.304405	2.14665	53.2368	2.26268	53.3072	4.40106	100.453	6.58156	153.19	1.11203	28.1827	3.30019	80.3323	4.40395	103.781	5.50091	148.51
0.192442	3.80648	0.0183397	0.352649	2.13765	44.8558	2.27414	45.6844	4.40144	86.0574	6.57873	130.799	1.11684	23.8687	3.30027	68.1662	4.40544	88.5188	5.50131	123.976
0.220283	3.8052	0.0237437	0.400137	2.12887	38.7142	2.28578	40.0222	4.40189	75.2732	6.57599	114.107	1.12243	20.738	3.30037	59.2011	4.40715	77.1807	5.50178	106.402
0.248094	3.80376	0.02979	0.446811	2.12032	34.0216	2.29759	35.6514	4.40239	66.8933	6.57335	101.186	1.12877	18.3666	3.30048	52.3206	4.4091	68.427	5.50232	93.1952
0.275869	3.80213	0.0364546	0.492592	2.112	30.3204	2.30958	32.176	4.40295	60.1945	6.57079	90.8866	1.13584	16.5114	3.3006	46.8735	4.41127	61.4654	5.50293	82.9078
0.303607	3.80031	0.0437138	0.537427	2.10392	27.3275	2.32173	29.3471	4.40358	54.7173	6.56833	82.4856	1.14361	15.0229	3.30075	42.4542	4.41368	55.7976	5.50362	74.6684
0.331301	3.79831	0.051542	0.581264	2.09609	24.858	2.33404	27	4.40426	50.1555	6.56595	75.5026	1.15206	13.8041	3.30092	38.797	4.41631	51.0941	5.50437	67.921
0.358948	3.79612	0.0599135	0.624062	2.0885	22.7863	2.34652	25.0217	4.40501	46.2976	6.56366	69.6066	1.16116	12.7894	3.3011	35.7204	4.41918	47.1287	5.50521	62.2943
0.386542	3.79373	0.0688031	0.6658	2.08117	21.0242	2.35916	23.332	4.40582	42.9925	6.56147	64.5623	1.17089	11.9327	3.30132	33.0964	4.42226	43.7407	5.50611	57.5306
0.414079	3.79113	0.0781842	0.706448	2.07409	19.5075	2.37196	21.8722	4.40669	40.1293	6.55936	60.1979	1.18122	11.2008	3.30155	30.8321	4.42557	40.8131	5.50709	53.4457
0.441555	3.78833	0.0880307	0.745987	2.06728	18.1889	2.38491	20.5987	4.40762	37.6252	6.55733	56.3846	1.19211	10.5692	3.30182	28.8582	4.4291	38.2583	5.50814	49.9042
0.468962	3.78531	0.0983181	0.784418	2.06074	17.0324	2.39801	19.4781	4.40861	35.4166	6.5554	53.0244	1.20355	10.0192	3.30211	27.1224	4.43285	36.0096	5.50926	46.8047
0.496296	3.78208	0.109021	0.821732	2.05447	16.0102	2.41126	18.4847	4.40967	33.4542	6.55355	50.0411	1.21551	9.53656	3.30244	25.5841	4.43681	34.0155	5.51046	44.0693
0.523552	3.77862	0.120116	0.857935	2.04849	15.1006	2.42465	17.5981	4.41079	31.6991	6.55179	47.3749	1.22796	9.11009	3.3028	24.2114	4.44099	32.2352	5.51173	41.6375
0.550723	3.77492	0.131579	0.893038	2.04279	14.2863	2.4382	16.8021	4.41197	30.1202	6.55011	44.9778	1.24087	8.7309	3.30319	22.979	4.44538	30.6363	5.51308	39.4616
0.577803	3.77099	0.143389	0.927048	2.03738	13.5534	2.45188	16.0836	4.41322	28.6923	6.54852	42.811	1.25423	8.39188	3.30363	21.8665	4.44998	29.1926	5.51451	37.5032
0.604785	3.7668	0.155523	0.959985	2.03228	12.8906	2.4657	15.4319	4.41454	27.3947	6.54701	40.8431	1.26801	8.08723	3.3041	20.8573	4.45479	27.8828	5.51601	35.7314
0.631662	3.76236	0.167962	0.991865	2.02748	12.2885	2.47965	14.8382	4.41592	26.2105	6.54558	39.0478	1.28218	7.81223	3.30462	19.9376	4.4598	26.6891	5.51758	34.1208
0.658427	3.75765	0.180685	1.02271	2.023	11.7396	2.49374	14.2952	4.41736	25.1255	6.54424	37.4035	1.29672	7.56291	3.30519	19.0961	4.46501	25.597	5.51924	32.6503
0.685072	3.75266	0.193675	1.05255	2.01884	11.2373	2.50797	13.7968	4.41887	24.1277	6.54299	35.892	1.31162	7.33602	3.30581	18.3233	4.47042	24.5941	5.52097	31.3026
0.711589	3.74738	0.206914	1.0814	2.01501	10.7761	2.52232	13.3376	4.42045	23.2071	6.54181	34.4978	1.32684	7.1288	3.30647	17.6112	4.47603	23.6699	5.52278	30.0629
0.737969	3.7418	0.220385	1.10929	2.01153	10.3515	2.5368	12.9134	4.4221	22.355	6.54071	33.2078	1.34238	6.9389	3.3072	16.9529	4.48183	22.8158	5.52466	28.9188
0.764203	3.7359	0.234074	1.13625	2.00839	9.95949	2.5514	12.5204	4.42381	21.5643	6.5397	32.0108	1.35822	6.76433	3.30798	16.3426	4.48782	22.0241	5.52663	27.8596
0.790282	3.72968	0.247965	1.16231	2.00561	9.59672	2.56612	12.1552	4.4256	20.8284	6.53877	30.8972	1.37433	6.60341	3.30882	15.7752	4.49399	21.2883	5.52867	26.8764
0.816195	3.72312	0.262045	1.18748	2.0032	9.26026	2.58097	11.8151	4.42746	20.142	6.53792	29.8585	1.3907	6.45464	3.30973	15.2465	4.50035	20.6027	5.5308	25.9612
0.841931	3.71621	0.276299	1.21181	2.00117	8.94755	2.59593	11.4977	4.42938	19.5002	6.53714	28.8875	1.40732	6.31676	3.3107	14.7526	4.50689	19.9625	5.53301	25.1073
0.86748	3.70893	0.290719	1.23532	1.99953	8.65639	2.61101	11.2006	4.43138	18.8988	6.53645	27.9778	1.42199	6.20463	3.31175	14.2903	4.51361	19.3633	5.5353	24.3088
0.89283	3.70126	0.30529	1.25803	1.99829	8.38483	2.62621	10.9222	4.43345	18.3343	6.53584	27.1238	1.43462	6.11442	3.31287	13.8566	4.5205	18.8014	5.53767	23.5605
0.917967	3.69319	0.320002	1.27998	1.99747	8.13117	2.64151	10.6607	4.43559	17.8032	6.5353	26.3205	1.44515	6.04328	3.31406	13.4491	4.52757	18.2734	5.54012	22.8577
